Date,Open,High,Low,Close,Volume
2025-03-03 12:26:37.011,142500000.0,142950000.0,135993000.0,139899000.0,3542.3427445
2025-03-02 23:59:59.638,128320000.0,143708000.0,126464000.0,142500000.0,8085.80440191
2025-03-02 00:00:00.031,124499000.0,128980000.0,123342000.0,128320000.0,3200.77768269
2025-02-28 23:59:59.924,124404000.0,125411000.0,116504000.0,124499000.0,8051.74155398
2025-02-27 23:59:59.651,122775000.0,127493000.0,121500000.0,124331000.0,3832.78298284
2025-02-26 23:59:59.947,129715000.0,130000000.0,120723000.0,122784000.0,4911.98768458
2025-02-25 23:59:59.960,132135000.0,134899000.0,125004000.0,129715000.0,9063.16812162
2025-02-24 23:59:59.952,141371000.0,141572000.0,131800000.0,132135000.0,5104.8145837
2025-02-23 23:59:59.182,142364000.0,142500000.0,140019000.0,141364000.0,1103.2003906
2025-02-22 23:59:59.427,142891000.0,143191000.0,141988000.0,142300000.0,701.49616078
2025-02-21 23:59:59.848,145719000.0,146400000.0,141334000.0,142859000.0,1820.4146452
2025-02-20 23:59:59.678,144314000.0,146000000.0,143689000.0,145719000.0,943.71043216
2025-02-19 23:59:59.633,143760000.0,144743000.0,142250000.0,144312000.0,1075.5545038
2025-02-18 23:59:59.255,144390000.0,145352000.0,141104000.0,143728000.0,1772.0458381
2025-02-17 23:59:59.628,145625000.0,145980000.0,144139000.0,144390000.0,1275.40908298
2025-02-16 23:59:59.996,147503000.0,147598000.0,145484000.0,145625000.0,677.26379543
2025-02-15 23:59:59.736,146551000.0,147720000.0,146200000.0,147501000.0,734.68263925
2025-02-14 23:59:59.912,145802000.0,148120000.0,145270000.0,146551000.0,1448.40803795
2025-02-13 23:59:59.708,147846000.0,148155000.0,144580000.0,145877000.0,1343.16309497
2025-02-12 23:59:59.890,146034000.0,148266000.0,143429000.0,147846000.0,2370.96714608
2025-02-11 23:59:59.007,147812000.0,148750000.0,145112000.0,146020000.0,1689.795504
2025-02-10 23:59:59.677,147602000.0,148830000.0,146000000.0,147724000.0,1480.95765827
2025-02-09 23:59:59.421,148873000.0,149819000.0,146197000.0,147579000.0,1566.08357111
2025-02-08 23:59:59.325,149602000.0,150220000.0,147994000.0,148803000.0,1087.25702791
2025-02-07 23:59:59.660,151359000.0,154000000.0,148730000.0,149601000.0,2959.78108027
2025-02-06 23:59:59.994,151450000.0,153925000.0,150011000.0,151356000.0,1873.91456823
2025-02-05 23:59:59.787,154140000.0,155662000.0,151000000.0,151450000.0,1950.48905036
2025-02-04 23:59:59.396,158217000.0,159439000.0,153000000.0,154122000.0,3536.84929186
2025-02-04 00:00:00.038,154000000.0,160304000.0,145000000.0,158217000.0,10213.11727922
2025-02-03 00:00:00.034,157399000.0,157925000.0,152477000.0,154000000.0,4152.76471464
2025-02-01 23:59:58.998,156580000.0,158090000.0,155888000.0,157330000.0,1638.45948966
2025-01-31 23:59:59.967,158182000.0,159669000.0,155600000.0,156580000.0,2143.1574605
2025-01-30 23:59:59.950,158859000.0,160559000.0,157860000.0,158139000.0,2346.60990153
2025-01-29 23:59:59.610,155919000.0,159455000.0,155765000.0,158859000.0,2110.06837042
2025-01-29 00:00:00.027,154919000.0,156658000.0,153782000.0,155919000.0,1883.02467176
2025-01-27 23:59:59.945,156100000.0,157075000.0,151260000.0,154919000.0,5043.13655799
2025-01-26 23:59:59.723,157200000.0,157933000.0,156000000.0,156100000.0,1222.93708628
2025-01-25 23:59:59.869,157170000.0,157832000.0,156889000.0,157200000.0,1044.63297991
2025-01-24 23:59:59.980,155112000.0,159000000.0,154000000.0,157146000.0,2922.35240081
2025-01-23 23:59:59.724,154999000.0,158920000.0,152000000.0,155112000.0,4954.0302646
2025-01-22 23:59:59.119,157571000.0,157791000.0,154486000.0,154999000.0,2227.73336919
2025-01-21 23:59:59.266,153225000.0,158490000.0,151038000.0,157571000.0,4441.84077005
2025-01-20 23:59:59.874,154000000.0,163325000.0,151518000.0,153225000.0,10945.25324846
2025-01-20 00:00:00.008,155720000.0,159999000.0,150903000.0,154000000.0,7113.5465532
2025-01-18 23:59:59.782,152434000.0,156530000.0,151533000.0,155801000.0,3748.13380163
2025-01-18 00:00:00.006,146750000.0,155509000.0,146661000.0,152345000.0,4834.721595
2025-01-16 23:59:59.925,147309000.0,147804000.0,144102000.0,146670000.0,3192.45019417
2025-01-15 23:59:59.983,143546000.0,147724000.0,142997000.0,147309000.0,3708.08865004
2025-01-15 00:00:00.008,142108000.0,144999000.0,141684000.0,143501000.0,2548.98311136
2025-01-13 23:59:58.627,142074000.0,143500000.0,137500000.0,142108000.0,4243.48992091
2025-01-12 23:59:59.947,141768000.0,143245000.0,141002000.0,142086000.0,1181.13699936
2025-01-11 23:59:59.809,142614000.0,142617000.0,141175000.0,141771000.0,1137.28650288
2025-01-10 23:59:59.311,139748000.0,143886000.0,139687000.0,142457000.0,3145.42115574
2025-01-09 23:59:59.615,142375000.0,142776000.0,138810000.0,139740000.0,3561.45575976
2025-01-09 00:00:00.009,144789000.0,145161000.0,140919000.0,142368000.0,4096.89543997
2025-01-07 23:59:59.974,150255000.0,151000000.0,143500000.0,144789000.0,4327.71162265
2025-01-06 23:59:59.877,144731000.0,150300000.0,144481000.0,150264000.0,3608.9652023
2025-01-05 23:59:59.783,144767000.0,145357000.0,143513000.0,144700000.0,1416.06538296
2025-01-04 23:59:59.664,144653000.0,145500000.0,144073000.0,144745000.0,1445.66845023
2025-01-03 23:59:59.686,143848000.0,145755000.0,142619000.0,144655000.0,2373.01457904
2025-01-02 23:59:59.789,141322000.0,144826000.0,140920000.0,143848000.0,3042.22989739
2025-01-01 23:59:59.841,139394000.0,141631000.0,139000000.0,141320000.0,1854.53857148
2024-12-31 23:59:59.609,137865000.0,143483000.0,136032000.0,139257000.0,3707.45981864
2024-12-30 23:59:59.382,139831000.0,140680000.0,135971000.0,137892000.0,3767.66978148
2024-12-29 23:59:59.943,142306000.0,142380000.0,138600000.0,139735000.0,2180.40637674
2024-12-28 23:59:59.613,142107000.0,143000000.0,141487000.0,142302000.0,1311.56387337
2024-12-27 23:59:59.444,144016000.0,146117000.0,141466000.0,142111000.0,3231.26328398
2024-12-27 00:00:00.013,148216000.0,149000000.0,143175000.0,144076000.0,3432.78442974
